Array number 1; Generation time: 1.1565041542053223; Array length: 1000; Generation date: 2021-08-29 15:00:51.560923; [24, 26, 33, 60, 77, 50, 21, 68, 80, 78, 91, 19, 7, 65, 8, 74, 77, 26, 86, 48, 94, 41, 8, 40, 18, 55, 53, 49, 8, 10, 54, 37, 95, 22, 95, 32, 5, 91, 30, 26, 40, 50, 17, 68, 95, 51, 63, 74, 97, 67, 38, 77, 69, 5, 44, 89, 46, 50, 43, 22, 5, 87, 31, 64, 50, 60, 58, 21, 50, 96, 35, 55, 26, 90, 8, 85, 29, 61, 44, 53, 9, 86, 85, 93, 87, 80, 2, 21, 44, 86, 65, 25, 43, 68, 94, 73, 59, 45, 28, 45, 12, 46, 74, 42, 19, 86, 32, 57, 8, 73, 19, 15, 65, 1, 60, 67, 92, 48, 21, 71, 94, 26, 49, 64, 74, 40, 19, 30, 97, 40, 54, 53, 96, 8, 38, 84, 32, 53, 42, 54, 49, 76, 26, 100, 11, 74, 64, 30, 1, 65, 69, 28, 3, 69, 30, 91, 34, 6, 28, 78, 28, 43, 12, 50, 12, 70, 52, 47, 25, 17, 14, 85, 83, 54, 64, 80, 84, 42, 62, 21, 70, 18, 79, 11, 57, 62, 43, 24, 16, 71, 51, 15, 48, 47, 5, 25, 42, 25, 83, 78, 46, 77, 98, 17, 65, 20, 78, 84, 6, 72, 75, 17, 55, 76, 75, 17, 47, 84, 30, 28, 83, 96, 87, 61, 49, 38, 35, 90, 3, 22, 14, 55, 60, 5, 89, 68, 77, 78, 28, 30, 92, 94, 5, 92, 41, 75, 21, 81, 91, 62, 98, 100, 90, 49, 12, 58, 31, 55, 13, 20, 32, 62, 24, 47, 57, 77, 2, 86, 38, 46, 50, 25, 75, 41, 18, 89, 62, 42, 58, 59, 35, 99, 97, 70, 88, 4, 56, 3, 89, 70, 29, 86, 56, 38, 100, 39, 70, 98, 42, 62, 46, 64, 17, 95, 89, 23, 54, 57, 7, 11, 84, 30, 1, 25, 64, 79, 92, 78, 77, 73, 25, 43, 31, 32, 90, 66, 52, 50, 2, 45, 31, 49, 84, 71, 38, 22, 47, 100, 42, 97, 25, 83, 20, 22, 78, 15, 30, 77, 13, 70, 49, 14, 20, 12, 53, 35, 9, 10, 95, 65, 95, 48, 27, 82, 76, 100, 46, 23, 30, 62, 22, 63, 16, 2, 90, 96, 48, 58, 94, 43, 47, 72, 56, 9, 66, 60, 13, 42, 34, 69, 45, 99, 12, 31, 65, 11, 74, 50, 22, 99, 81, 49, 46, 67, 55, 11, 95, 100, 80, 34, 16, 96, 88, 77, 8, 92, 53, 41, 61, 41, 36, 54, 54, 20, 72, 36, 100, 4, 36, 12, 48, 83, 38, 45, 13, 3, 98, 21, 98, 45, 54, 40, 6, 27, 9, 94, 36, 4, 48, 32, 38, 9, 43, 71, 91, 84, 58, 83, 15, 60, 7, 32, 17, 99, 92, 55, 89, 87, 8, 21, 68, 97, 67, 56, 2, 69, 56, 33, 49, 82, 87, 28, 67, 11, 35, 35, 7, 79, 7, 60, 52, 45, 69, 27, 90, 29, 37, 37, 98, 18, 14, 68, 54, 94, 79, 54, 23, 6, 3, 77, 85, 8, 58, 57, 3, 26, 69, 9, 59, 29, 50, 10, 68, 67, 13, 63, 17, 86, 20, 49, 48, 25, 71, 26, 56, 25, 61, 64, 40, 7, 9, 30, 10, 71, 99, 41, 79, 65, 52, 37, 22, 74, 79, 45, 32, 75, 98, 12, 22, 45, 47, 8, 51, 29, 94, 44, 48, 83, 44, 22, 29, 16, 90, 92, 44, 88, 61, 52, 31, 61, 66, 85, 63, 18, 6, 9, 8, 77, 7, 59, 49, 59, 93, 44, 82, 64, 94, 29, 53, 41, 47, 35, 23, 84, 16, 99, 48, 29, 30, 78, 91, 81, 61, 87, 59, 72, 84, 89, 47, 62, 39, 44, 7, 12, 10, 91, 96, 10, 71, 4, 69, 43, 62, 49, 66, 19, 77, 64, 50, 69, 27, 93, 43, 63, 3, 29, 88, 94, 6, 48, 93, 54, 39, 74, 28, 97, 87, 50, 77, 40, 11, 68, 89, 82, 40, 61, 15, 64, 2, 33, 29, 58, 32, 4, 54, 1, 86, 80, 62, 84, 61, 44, 53, 47, 75, 33, 83, 6, 55, 1, 10, 35, 18, 19, 90, 82, 68, 17, 80, 86, 9, 76, 31, 89, 5, 3, 61, 42, 54, 76, 51, 2, 89, 18, 74, 4, 45, 23, 78, 46, 39, 78, 17, 8, 79, 89, 61, 86, 11, 5, 8, 89, 81, 28, 85, 8, 10, 67, 55, 28, 96, 91, 86, 38, 31, 55, 50, 63, 37, 59, 35, 47, 80, 10, 96, 49, 58, 48, 56, 66, 47, 79, 16, 71, 95, 85, 15, 35, 68, 5, 4, 59, 62, 34, 91, 3, 44, 58, 70, 85, 31, 41, 32, 78, 18, 63, 84, 49, 32, 8, 100, 95, 56, 27, 42, 92, 23, 4, 75, 10, 22, 22, 95, 21, 57, 49, 79, 81, 82, 97, 47, 34, 24, 70, 24, 33, 34, 13, 76, 88, 82, 59, 25, 96, 58, 53, 25, 94, 41, 10, 100, 2, 23, 70, 84, 48, 77, 51, 71, 14, 100, 77, 27, 57, 34, 39, 25, 16, 7, 3, 72, 93, 77, 10, 35, 68, 2, 9, 21, 62, 90, 81, 72, 54, 77, 37, 15, 27, 77, 65, 41, 16, 50, 91, 64, 39, 16, 43, 99, 12, 75, 46, 62, 58, 43, 40, 81, 28, 9, 6, 27, 97, 47, 69, 40, 12, 64, 47, 66, 12, 19, 33, 71, 58, 99, 47, 60, 30, 67, 49, 38, 15, 21, 38, 48, 8, 26, 16, 34, 60, 11, 93, 62, 75, 18, 68, 76, 24, 87, 50, 99, 47, 57, 89, 54, 55, 40, 82, 99, 83, 68, 12, 57, 43, 58, 20, 93, 63, 73, 88, 30, 96, 9, 14, 36, 73, 63, 50, 97, 17, 35, 68, 14, 6, 87, 9, 51, 79, 86, 74, 65, 62, 30, 82, 82, 80, 90, 43, 24, 50, 99, 13, 52, 49, 62, 98, 83, 98, 40, 9, 30, 3, 96, 42, 60, 38, 30, 82, 4, 74];
Array number 2; Generation time: 4.023548126220703; Array length: 100; Generation date: 2021-08-29 15:03:26.591914; [18, 19, 75, 34, 50, 28, 42, 88, 6, 45, 52, 54, 75, 69, 95, 32, 69, 10, 8, 7, 60, 7, 81, 21, 19, 9, 14, 35, 38, 20, 95, 42, 60, 63, 80, 36, 96, 83, 72, 41, 21, 17, 53, 98, 39, 74, 63, 41, 99, 37, 66, 98, 46, 11, 4, 77, 15, 3, 68, 1, 76, 98, 77, 11, 51, 23, 72, 56, 59, 23, 94, 13, 55, 58, 67, 47, 82, 96, 3, 11, 1, 18, 88, 71, 65, 21, 53, 26, 43, 71, 35, 36, 27, 26, 36, 66, 13, 89, 80, 67];
Array number 3; Generation time: 2.8555850982666016; Array length: 10; Generation date: 2021-08-29 15:03:54.618437; [0.9453245638771526, 0.01658441446264114, 0.41284015424148657, 0.7758800696313745, 0.6035462766622562, 0.662258887664654, 0.054493533681207684, 0.45297159032069056, 0.14745753315651566, 0.23305853657651787];
Array number 4; Generation time: 1.320866584777832; Array length: 100; Generation date: 2021-08-29 15:04:08.957217; ['p', 'N', 'G', 'y', 'M', 'e', 'Q', 'Y', 's', 'j', 'Q', 'T', 'K', 'x', 'b', 'w', 'A', 'J', 'w', 'Z', 'd', 'h', 'a', 'k', 'w', 'R', 'q', 'i', 'L', 's', 'E', 'l', 'y', 'm', 'D', 'R', 'X', 'X', 'q', 'N', 'x', 'K', 'I', 'O', 'w', 'd', 'F', 'c', 'l', 'D', 'P', 'L', 'M', 'G', 'y', 'c', 'z', 'R', 'n', 'Q', 'i', 'D', 'T', 'P', 'x', 'a', 'O', 'c', 'f', 'Z', 'U', 'K', 'f', 'V', 'A', 'x', 'k', 'Y', 'k', 'N', 'q', 'k', 'f', 'j', 'I', 'd', 'j', 'h', 'A', 'P', 'a', 'E', 'p', 'k', 'k', 'h', 'X', 'r', 'O', 'Z'];
Array number 5; Generation time: 5.296950817108154; Array length: 10; Generation date: 2021-08-29 15:05:09.016893; [1, 2, 3, 4, 5, 6, 7, 8, 9, 0];
Array number 6; Generation time: 13.43716812133789; Array length: 10; Generation date: 2021-08-29 15:05:18.598112; [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 0.01];
Array number 7; Generation time: 9.744633674621582; Array length: 10; Generation date: 2021-08-29 15:05:41.259804; ['1', 'q', 'w', 'e', 'r', 't', 'y', 'u', 'i', 'o'];
Array number 8; Generation time: 0.829761266708374; Array length: 13; Generation date: 2021-08-29 15:06:04.035989; [69, 0.12703108654325457, 62, 0.9665196592468637, 'o', None, 0.4754433281109667, 'U', None, 0.7662331423501996, 's', None, 75];
Array number 9; Generation time: 8.22516417503357; Array length: 10; Generation date: 2021-08-29 15:14:20.727114; ['q', '1', 'w', '2', 'e', '3', 'r', '4', 't', '5'];
Array number 10; Generation time: 2.481736898422241; Array length: 136; Generation date: 2021-08-29 15:15:00.322361; [71, 19, 0.08993879730484777, 22, 0.6142115245595291, 'B', None, 0.027435108422638965, 'J', None, 0.23782301702649966, 44, 'w', None, 'N', None, 0.3597819294022758, 'L', None, 0.45358781871253584, 0.8034296621001569, 0.7532485412914576, 23, 41, 0.45013977341875655, 0.7896676081194556, 'c', None, 'S', None, 'i', None, 0.2964829562660676, 'D', None, 'W', None, 'e', None, 'n', None, 63, 0.5735750066258414, 'c', None, 0.49492763600566214, 14, 0.7162835555446109, 67, 0.8844786931302117, 39, 56, 0.021464329383450886, 0.5014884238155265, 33, 'w', None, 0.9305212181717003, 63, 30, 0.9976148598079396, 'H', None, 'C', None, 0.37678123609255687, 42, 9, 'X', None, 0.046859059323798746, 14, 41, 0.795249889170527, 0.571295518746903, 0.3578776147895413, 'h', None, 'P', None, 'U', None, 'C', None, 'P', None, 0.7426481192974842, 0.8613302542029311, 'J', None, 0.3587492372957901, 64, 59, 'L', None, 0.5894771334885458, 79, 0.7472260519386451, 92, 0.71545145317241, 'O', None, 'o', None, 0.8216329431535224, 98, 'e', None, 0.47435350244524654, 0.35652075527730065, 'M', None, 'n', None, 0.12210872399880646, 78, 'i', None, 0.5165781008533082, 'U', None, 'y', None, 'M', None, 0.7004275350582821, 0.029862046169766177, 91, 46, 0.5829388115163221, 'i', None, 'Y', None, 'g', None];
Array number 11; Generation time: 0.6402547359466553; Array length: 10; Generation date: 2021-08-29 15:19:55.337750; [12, 75, 79, 89, 66, 92, 16, 80, 53, 31];
Array number 12; Generation time: 2.3910818099975586; Array length: 100; Generation date: 2021-08-29 15:20:46.888336; [35, 79, 59, 10, 74, 84, 28, 76, 10, 46, 19, 17, 37, 17, 14, 36, 5, 23, 2, 58, 89, 92, 43, 94, 45, 29, 58, 62, 27, 29, 32, 57, 97, 3, 95, 74, 48, 1, 21, 31, 7, 80, 26, 80, 27, 13, 20, 42, 63, 53, 35, 92, 40, 28, 16, 95, 11, 29, 16, 96, 5, 11, 44, 18, 66, 68, 76, 8, 18, 50, 95, 60, 13, 22, 38, 15, 98, 30, 72, 51, 50, 24, 23, 61, 20, 74, 68, 95, 83, 34, 37, 39, 5, 80, 30, 34, 45, 43, 67, 66];
Array number 12; Generation time: 0.9335980415344238; Array length: 10; Generation date: 2021-08-29 15:20:46.888336; [65, 12, 75, 81, 100, 33, 54, 56, 7, 52];
Array number 14; Generation time: 1.1091413497924805; Array length: 100; Generation date: 2021-08-29 15:23:08.321556; [71, 2, 45, 30, 74, 42, 76, 42, 72, 77, 36, 37, 41, 31, 64, 97, 80, 23, 62, 22, 83, 70, 68, 40, 15, 94, 66, 29, 58, 12, 50, 99, 84, 72, 34, 42, 18, 84, 2, 65, 44, 72, 19, 25, 83, 38, 75, 14, 5, 73, 54, 19, 90, 79, 65, 19, 67, 94, 66, 1, 70, 42, 86, 83, 19, 79, 11, 85, 24, 76, 20, 91, 49, 41, 32, 81, 24, 53, 42, 19, 69, 25, 55, 28, 76, 36, 85, 19, 77, 66, 14, 83, 98, 51, 69, 20, 78, 24, 73, 63];
